date,ticker,net_flow_usd,source
2025-07-07,EZBC,0.0,farside
2025-07-07,FBTC,66.0,farside
2025-07-07,HODL,0.0,farside
2025-07-07,IBIT,164.6,farside
2025-07-08,ARKB,0.0,farside
2025-07-08,BITB,0.0,farside
2025-07-08,BRRR,3.7,farside
2025-07-08,BTCO,0.0,farside
2025-07-08,BTCW,0.0,farside
2025-07-08,EZBC,0.0,farside
2025-07-08,FBTC,4.8,farside
2025-07-08,GBTC,0.0,farside
2025-07-08,HODL,0.0,farside
2025-07-08,IBIT,66.8,farside
2025-07-09,ARKB,57.0,farside
2025-07-09,BITB,3.0,farside
2025-07-09,BRRR,0.0,farside
2025-07-09,BTCO,9.5,farside
2025-07-09,BTCW,0.0,farside
2025-07-09,EZBC,0.0,farside
2025-07-09,FBTC,4.8,farside
2025-07-09,GBTC,0.0,farside
2025-07-09,HODL,0.0,farside
2025-07-09,IBIT,125.6,farside
2025-07-10,ARKB,268.7,farside
2025-07-10,BITB,77.2,farside
2025-07-10,BRRR,0.0,farside
2025-07-10,BTCO,0.0,farside
2025-07-10,BTCW,0.0,farside
2025-07-10,EZBC,0.0,farside
2025-07-10,FBTC,324.3,farside
2025-07-10,HODL,15.2,farside
2025-07-10,IBIT,448.5,farside
2025-07-11,ARKB,23.5,farside
2025-07-11,BITB,6.4,farside
2025-07-11,BRRR,0.0,farside
2025-07-11,BTCO,5.3,farside
2025-07-11,BTCW,0.0,farside
2025-07-11,EZBC,0.0,farside
2025-07-11,FBTC,0.0,farside
2025-07-11,GBTC,0.0,farside
2025-07-11,HODL,20.0,farside
2025-07-11,IBIT,953.5,farside
2025-07-14,BITB,7.2,farside
2025-07-14,BRRR,0.0,farside
2025-07-14,BTCO,0.0,farside
2025-07-14,BTCW,0.0,farside
2025-07-14,EZBC,0.0,farside
2025-07-14,GBTC,0.0,farside
2025-07-14,HODL,8.5,farside
2025-07-14,IBIT,394.7,farside
2025-07-15,BITB,12.7,farside
2025-07-15,BRRR,0.0,farside
2025-07-15,BTCO,0.0,farside
2025-07-15,BTCW,0.0,farside
2025-07-15,EZBC,6.8,farside
2025-07-15,HODL,19.0,farside
2025-07-15,IBIT,416.3,farside
2025-07-16,ARKB,19.8,farside
2025-07-16,BITB,0.0,farside
2025-07-16,BRRR,0.0,farside
2025-07-16,BTCO,0.0,farside
2025-07-16,BTCW,0.0,farside
2025-07-16,EZBC,0.0,farside
2025-07-16,FBTC,10.4,farside
2025-07-16,GBTC,0.0,farside
2025-07-16,HODL,0.0,farside
2025-07-16,IBIT,763.9,farside
