date,btc_open_intraday,btc_close_intraday,btc_close_et,btc_prev_close_et,ret_close_close,ret_intraday,ret_overnight,rv_intraday,rv_overnight
2024-04-17,62343.14,61075.55,61075.55,62706.03,-0.026345992838841786,-0.020542019590633506,-0.005803973248208281,0.0010377002943442273,0.0006561719437955282
2024-04-18,62362.3,63395.03,63395.03,61075.55,0.0372738447786569,0.016424541076748653,0.02084930370190825,0.0005299782425736217,0.0013717797018166578
2024-04-19,64549.73,64272.93,64272.93,63395.03,0.013753080062548178,-0.004297387214087838,0.018050467276636017,0.0005217917702369916,0.0013802020667428422
2024-04-20,63916.21,64891.97,64891.97,64272.93,0.009585339975656,0.015150880407398737,-0.005565540431742736,0.00020485182634620265,0.0003187703454493031
2024-04-21,65094.02,64400.01,64400.01,64891.97,-0.0076100988516449005,-0.010718897926502246,0.0031087990748573458,0.00015664253002729733,0.00043196022665965427
2024-04-22,66088.13,66500.01,66500.01,64400.01,0.032088309647938004,0.006212943705263233,0.025875365942674772,0.00017354037368717465,0.00031041432502309434
2024-04-23,66093.25,66434.0,66434.0,66500.01,-0.0009931244145188493,0.005142349983001469,-0.006135474397520319,0.00015565280659783165,0.0002051373810111293
2024-04-24,66017.96,64171.53,64171.53,66434.0,-0.03464931922778094,-0.028367171824848145,-0.006282147402932793,0.0003498460938527999,0.0003279119184039903
2024-04-25,63143.5,64800.01,64800.01,64171.53,0.009746103283767649,0.02589584371317073,-0.01614974042940308,0.0002667371007742389,0.00043377529738979564
2024-04-26,63835.99,63864.58,63864.58,64800.01,-0.014540853578123793,0.0004477662155726551,-0.014988619793696449,0.00022797512528269714,0.00038160474987833105
2024-04-27,63084.0,63397.22,63397.22,63864.58,-0.007344892199719481,0.0049528402760501125,-0.012297732475769593,0.000131786638500264,0.00015466327604894247
2024-04-28,63703.99,63699.99,63699.99,63397.22,0.0047643936908724985,-6.279238688328958e-05,0.004827186077755788,5.079990487363484e-05,0.00027297720651657336
2024-04-29,62566.0,63003.56,63003.56,63699.99,-0.010993172860706705,0.0069692331649541805,-0.017962406025660883,0.00019399923054839855,0.0004696009642102682
2024-04-30,61137.36,59674.13,59674.13,63003.56,-0.054292639582325414,-0.024224542793390116,-0.030068096788935298,0.0005207468105075581,0.0008135822936782963
2024-05-01,57690.74,57162.0,57162.0,59674.13,-0.04300925119650455,-0.00920733341358694,-0.033801917782917607,0.0009630313831505639,0.0012917479923915997
2024-05-02,58721.09,59287.75,59287.75,57162.0,0.036513365982571946,0.009603761130993827,0.026909604851578117,0.0003477715356790551,0.0006285831826874114
